=== source: childes_uk ===

-- Conversation 020203::4 (2456 lemmas, speakers: CHI, DAD, MOT) --
  *CHI:	a biscuit .
  *FAT:	and then you know what we can do .
  *FAT:	turn this the other way round .
  *CHI:	daddy child who paint .
  *CHI:	can the child do no .
  *CHI:	that be for .
  *CHI:	that be for mummy .
  *FAT:	be it .
  *CHI:	aah .
  *FAT:	do you have any .
  *FAT:	how many have you get .
  *CHI:	one .
  *CHI:	two .
  *CHI:	three .
  *CHI:	four .
  *FAT:	four .
  *FAT:	and .
  *CHI:	daddy i be have this one .
  *CHI:	daddy .
  *CHI:	choose .
  *CHI:	daddy .
  *CHI:	choose .
  *CHI:	daddy .
  *FAT:	i will have that one .
  *CHI:	okay .
  *FAT:	thank you .
  *CHI:	daddy .
  *CHI:	they be my paper .
  *CHI:	but not those one .
  *FAT:	i think you need to get some water .
  *CHI:	watch these off .
  *FAT:	there be no water in those end be there .
  *CHI:	watch this off .
  *FAT:	ahhah .
  *CHI:	watch it off .
  *FAT:	right .
  *FAT:	and then what .
  *CHI:	put the water in .
  *CHI:	daddy .
  *CHI:	can you go and get the water cm dad .
  *FAT:	okay cm darling .
  *FAT:	i will go and get it .
  *FAT:	i will rest my can you hold this one for me .
  *FAT:	thank you .
  *CHI:	where be the water .
  *FAT:	i be go to go and get some now .
  *FAT:	what be you go to paint anyway .
  *CHI:	pardon .
  *FAT:	what be you go to paint .
  *CHI:	daddy .
  *CHI:	you be go to paint as well end okay .
  *FAT:	what shall we paint .
  *CHI:	a dinosaur .
  *FAT:	ooh oh .
  *FAT:	that be a bit scare .
  *CHI:	dad .
  *CHI:	you need a cup .
  *FAT:	okay .
  *FAT:	i will go and get one .
  *FAT:	excellent .
  *FAT:	right .
  *FAT:	you tell me where to put the water then .
  *FAT:	which one do we put the water in .
  *FAT:	in all of those .
  *CHI:	no .
  *CHI:	you .
  *FAT:	there .
  *CHI:	can i drink it .
  *FAT:	do you want to drink first .
  *FAT:	be you thirst .
  *FAT:	do you want some more .
  *FAT:	if you do not want any more then we can pour the rest in here end can not we .
  *FAT:	dada .
  *CHI:	that .
  *CHI:	and that banana .
  *FAT:	yeah .
  *FAT:	but do you know what .
  *FAT:	you run out .
  *FAT:	no more water .
  *FAT:	mind out .
  *CHI:	under that one .
  *FAT:	i know where there be some more water .
  *CHI:	dad .
  *FAT:	that be enough there though end be not it .
  *CHI:	yeah .
  *FAT:	be that enough .
  *CHI:	yeah .
  *CHI:	dad .
  *CHI:	be in your .
  *FAT:	thank you .
  *FAT:	where be yours .
  *FAT:	oh right .
  *FAT:	huh .
  *CHI:	that be mine .
  *FAT:	that be the right way around .
  *FAT:	excellent .
  *FAT:	right .
  *FAT:	now let us have a look .
  *FAT:	go to sit down on this one here .
  *FAT:	you there .
  *CHI:	i want the red .
  *FAT:	ahhah .
  *CHI:	i need the red as well .
  *FAT:	i .
  *CHI:	i be paint a dinosaur .
  *FAT:	a red dinosaur .
  *FAT:	right .
  *CHI:	dora .
  *CHI:	daddy short now .
  *CHI:	come on .
  *FAT:	there be some water .
  *FAT:	there be some paint .
  *CHI:	i do my work .
  *CHI:	no .
  *CHI:	you do red .
  *CHI:	you .
  *FAT:	me .
  *CHI:	yeah .
  *FAT:	do i look like a farm .
  *CHI:	you be .
  *FAT:	no .
  *FAT:	alright .
  *FAT:	i can be a farm if i want to .
  *FAT:	what a good idea .
  *CHI:	phwoar .
  *FAT:	oh .
  *FAT:	care .
  *FAT:	what happen there .
  *CHI:	it be me .
  *CHI:	i fall down .
  *CHI:	sure .
  *CHI:	i be crawl around .
  *FAT:	be you okay .
  *CHI:	yeah .
  *FAT:	you must be tire now .
  *CHI:	who .
  *CHI:	who .
  *FAT:	you .
  *CHI:	oh yeah .
  *CHI:	fast .
  *CHI:	okay .
  *CHI:	if i go fast i will be tire .
  *FAT:	you will be tire cm darling .
  *CHI:	do a .
  *CHI:	do you around .
  *CHI:	do you enjoy the roundabout end do not you .
  *FAT:	same as you .
  *CHI:	yeah .
  *FAT:	okay .
  *FAT:	i will wait until you finish cm darling .
  *FAT:	have you finish .
  *CHI:	no .
  *FAT:	okay .
  *FAT:	oh my word .
  *FAT:	that be gorgeous .
  *FAT:	that be a gorgeous red color .
  *FAT:	what be that bit there .
  *CHI:	it be not a dinosaur .
  *CHI:	it be just only a head .
  *FAT:	a head of a dinosaur .
  *FAT:	right .
  *FAT:	this could be red .
  *FAT:	be you do red as well .
  *CHI:	yeah .
  *CHI:	you just paint cm daddy .
  *CHI:	you can paint .
  *FAT:	i might do some eye over here .
  *CHI:	who be you paint cm dad .
  *FAT:	same as you .
  *FAT:	dinosaur .
  *CHI:	i be just do the head .
  *CHI:	i be not do all water .
  *CHI:	i be just do paint .
  *FAT:	sometimes it get a bit too dry .
  *FAT:	sometimes you have to mix a little bit of water with a little bit of paint .
  *CHI:	i have too much paint .
  *FAT:	be that too much .
  *CHI:	i want too much .
  *FAT:	do you want a lot .
  *CHI:	a lot .
  *FAT:	paint .
  *FAT:	that be a good idea .
  *FAT:	because then it come up very bright end do not it .
  *CHI:	look at mine .
  *FAT:	aah .
  *FAT:	oh yes .
  *FAT:	that be beautiful .
  *CHI:	i be have more .
  *CHI:	so he can go to .
  *FAT:	be that your favorite color .
  *FAT:	which one .
  *CHI:	red .
  *CHI:	be that your favorite color as well .
  *CHI:	red .
  *FAT:	it be my favorite color cm red .
  *FAT:	yes .
  *CHI:	it be not very good this one .
  *FAT:	it be not paint very well .
  *FAT:	just turn it one more time .
  *FAT:	and then .
  *FAT:	cut two row out .
  *CHI:	need to let .
  *CHI:	then it will work .
  *FAT:	it might do .
  *FAT:	there you go .
  *FAT:	oh .
  *FAT:	beautiful .
  *CHI:	it will work .
  *FAT:	yeah .
  *FAT:	just do it gentle cm darling .
  *FAT:	like that .
  *FAT:	look .
  *FAT:	and which color next .
  *FAT:	there be color in here .
  *FAT:	that be like your dress .
  *CHI:	my dress .
  *FAT:	mm .
  *FAT:	what color be it .
  *CHI:	my pink shoe .
  *FAT:	oh cm eleanor .
  *FAT:	love .
  *CHI:	purple .
  *FAT:	mm .
  *CHI:	what be yours .
  *FAT:	same .
  *FAT:	mine be a purple snake .
  *CHI:	snake .
  *CHI:	mine be a purple a .
  *FAT:	oh .
  *FAT:	beautiful .
  *FAT:	what color be you go to do next .
  *CHI:	i be go to do red .
  *CHI:	another red one .
  *FAT:	again .
  *CHI:	no .
  *CHI:	not in a red one .
  *FAT:	oh .
  *FAT:	that be a nice color .
  *FAT:	can i share that one .
  *CHI:	course .
  *FAT:	what color that .
  *CHI:	i think it be go to be blue .
  *FAT:	mm .
  *CHI:	sorry .
  *FAT:	thank you .
  *FAT:	oh .
  *FAT:	it be .
  *FAT:	and it be a love sky blue .
  *FAT:	that look like the blue of the sky .
  *CHI:	it be not the blue of the sky .
  *CHI:	it be the sea of the sea .
  *FAT:	sea .
  *CHI:	yeah .
  *FAT:	oh .
  *FAT:	i see .
  *FAT:	oh yes .
  *FAT:	so it be .
  *FAT:	eleanor .
  *FAT:	that be a gorgeous blue .
  *CHI:	get some more .
  *CHI:	we will do pretty pink .
  *FAT:	pink be a nice color end be not it .
  *CHI:	pretty pink .
  *FAT:	pink .
  *FAT:	that be quite nice color .
  *FAT:	it be not very bright pink .
  *FAT:	let us see if we can make it a bit bright .
  *FAT:	we can mix it here .
  *FAT:	mix .
  *CHI:	that be mine .
  *FAT:	oh .
  *FAT:	it be .
  *FAT:	that be good .
  *FAT:	that be gorgeous .
  *CHI:	they be ours .
  *FAT:	that be quite a thick one end be not it .
  *FAT:	if i draw a line with this one it make a very big line .
  *FAT:	now you draw a line with that one .
  *FAT:	see what sort of line it make .
  *FAT:	it make a very big line .
  *FAT:	brilliant .
  *FAT:	what be .
  *CHI:	see what paint this be .
  *FAT:	again .
  *FAT:	do you like the thin one .
  *CHI:	no .
  *CHI:	dada mix this .
  *FAT:	i think i can real mix that use that one before .
  *FAT:	i can real mix it .
  *CHI:	there be four there end be not there .
  *FAT:	there be .
  *FAT:	but we lose that one age ago .
  *FAT:	a long time ago .
  *CHI:	that one do not fit in there end do it .
  *FAT:	how it be too .
  *CHI:	big .
  *FAT:	but that small be no good anyway .
  *FAT:	it be too small .
  *FAT:	you could not real paint with it because you could not hold it in your hand .
  *CHI:	it be only this one you can paint .
  *FAT:	mm .
  *FAT:	oh cm eleanor .
  *FAT:	that be beautiful .
  *FAT:	that be like end what .
  *FAT:	what else be green .
  *CHI:	green for grass .
  *FAT:	green for grass .
  *FAT:	yes .
  *FAT:	excellent .
  *CHI:	dada show the brown now .
  *FAT:	there .
  *FAT:	here we go .
  *CHI:	i be go to do brown .
  *FAT:	that sound like a good idea .
  *CHI:	brown be a good color .
  *FAT:	oh yes .
  *FAT:	what be brown .
  *FAT:	what be brown cm darling .
  *CHI:	do not know .
  *FAT:	soil .
  *FAT:	you know when we look for worm .
  *CHI:	i be use for you now .
  *FAT:	be you on to blue already .
  *CHI:	yes .
  *FAT:	oh .
  *FAT:	i will finish off with brown .
  *FAT:	oh .
  *FAT:	that be a .
  *FAT:	oh .
  *FAT:	that be gorgeous .
  *FAT:	eleanor .
  *FAT:	that be gorgeous .
  *FAT:	beautiful .
  *FAT:	that be beautiful thing .
  *FAT:	excellent .
  *CHI:	no .
  *CHI:	there be a .
  *FAT:	wow .
  *CHI:	i be get some more blue .
  *CHI:	you do some more blue .
  *CHI:	i be do some .
  *CHI:	dad .
  *CHI:	do you want there be space .
  *FAT:	wow .
  *CHI:	which one be you do .
  *FAT:	shoe dress in .
  *FAT:	shh .
  *CHI:	be you a cloud .
  *FAT:	mm .
  *FAT:	cloud be not blue end be they .
  *FAT:	what color be cloud .
  *CHI:	white .
  *FAT:	white cloud .
  *FAT:	oh .
  *FAT:	sea .
  *FAT:	and blue sky .
  *FAT:	and draw some white cloud .
  *CHI:	i need the yellow now .
  *FAT:	mm mm .
  *FAT:	blue .
  *CHI:	do you know paint .
  *CHI:	if you touch your right now .
  *FAT:	right now .
  *FAT:	oh .
  *FAT:	what do you mean right now .
  *CHI:	no .
  *CHI:	paint might melt .
  *FAT:	oh yeah .
  *FAT:	i guess so .
  *FAT:	yeah .
  *FAT:	they can do .
  *FAT:	now .
  *FAT:	they melt .
  *FAT:	they can melt .
  *FAT:	yes .
  *FAT:	it can .
  *FAT:	it can dissolve .
  *FAT:	dissolve .
  *CHI:	it can melt .
  *FAT:	yeah .
  *FAT:	ice melt .
  *CHI:	and paint do not .
  *FAT:	no .
  *FAT:	it dissolve in water .
  *FAT:	because look .
  *FAT:	if you look at that one .
  *FAT:	that one be go .
  *FAT:	there be only a little bit left there .
  *FAT:	that one be go .
  *FAT:	that one be almost go end have not it .
  *FAT:	look at those .
  *FAT:	do he .
  *CHI:	yeah .
  *FAT:	oh i .
  *FAT:	he be a luck boy go on the roundabout so much .
  *FAT:	be not he .
  *CHI:	yeah .
  *CHI:	i be arnie .
  *CHI:	i be the mummy .
  *CHI:	you pay for us .
  *CHI:	i pull your head up .
  *FAT:	who be the mummy .
  *CHI:	me .
  *FAT:	oh .
  *FAT:	very nice .
  *CHI:	and you be the daddy .
  *FAT:	okay cm darling .
  *CHI:	mummy and daddy and the baby be cry one day .
  *FAT:	ooh .
  *FAT:	and then what happen .
  *CHI:	they do not fall but they bump his eye .
  *FAT:	oh my word .
  *FAT:	do they feel good .
  *CHI:	he that one .
  *FAT:	do we use them too much end do not we .
  *FAT:	do you remember .
  *CHI:	yeah .
  *FAT:	right .
  *FAT:	yellow .
  *FAT:	now .
  *FAT:	what thing be yellow .
  *CHI:	banana be yellow .
  *FAT:	right .
  *FAT:	you draw a banana .
  *FAT:	i will do a yellow .
  *CHI:	no .
  *CHI:	i be not draw a banana .
  *FAT:	what be you do .
  *FAT:	what be you paint .
  *CHI:	i be paint something be it yellow .
  *FAT:	what be yellow .
  *FAT:	what else be yellow .
  *FAT:	the sun .
  *FAT:	you can not see the sun today .
  *FAT:	so you have get over here you can paint a yellow .
  *CHI:	what be you make .
  *FAT:	a yellow .
  *CHI:	sun .
  *FAT:	sun .
  *FAT:	what do you think .
  *CHI:	beautiful .
  *FAT:	thank you .
  *FAT:	what be you make .
  *CHI:	i be make something in yellow .
  *FAT:	what be it .
  *CHI:	i know what it be .
  *FAT:	oh .
  *FAT:	that be gorgeous .
  *FAT:	that look like a sun as well .
  *CHI:	because it be a sun .
  *FAT:	oh cm eleanor .
  *FAT:	brilliant .
  *FAT:	eleanor .
  *FAT:	gorgeous .
  *CHI:	daddy .
  *CHI:	shall we do something else now .
  *FAT:	okay .
  *FAT:	so .
  *FAT:	finish paint .
  *FAT:	let us let us finish the paint there and .
  *CHI:	this be my horse .
  *FAT:	this be a bit like your horse end be not it .
  *CHI:	it be .
  *FAT:	it be a bit like a horse .
  *FAT:	what be your horse name .
  *CHI:	his name be planet .
  *CHI:	his name be planet .
  *FAT:	rabbit .
  *CHI:	planet .
  *FAT:	planet .
  *CHI:	yeah .
  *FAT:	that be a nice name for a horse .
  *FAT:	giddy up .
  *CHI:	you can walk without your crutch .
  *FAT:	i can .
  *FAT:	but not very well .
  *FAT:	i can you know when i walk .
  *FAT:	this knee hurt a little bit .
  *FAT:	if i walk without my crutch .
  *FAT:	ooh .
  *FAT:	ah .
  *FAT:	oh .
  *FAT:	where be you go with my crutch .
  *CHI:	no .
  *CHI:	it be a horse .
  *FAT:	where be you go with my horse .
  *CHI:	it be smell seeney .
  *FAT:	seeney .
  *CHI:	no .
  *FAT:	what .
  *CHI:	she need horse .
  *FAT:	seeney .
  *CHI:	no .
  *CHI:	she need a horse .
  *FAT:	seeney the horse .
  *CHI:	yeah .
  *FAT:	that be a nice name for a horse .
  *CHI:	but he have not get a face .
  *CHI:	he have not get a face .
  *FAT:	he have not end have he .
  *CHI:	no .
  *FAT:	we could make a face for him if we want to .
  *CHI:	but he do not want a face .
  *CHI:	come on .
  *FAT:	i be watch you from here .
  *CHI:	no .
  *FAT:	what .
  *CHI:	come on .
  *FAT:	shall i follow you .
  *CHI:	yeah .
  *FAT:	i will just finish my tea .
  *FAT:	i will follow you .
  *FAT:	horse .
  *FAT:	can you remember that song .
  *CHI:	no .
  *CHI:	this .
  *CHI:	i get a new song call horse .
  *FAT:	alright .
  *CHI:	horse do not you do not .
  *CHI:	let your go clippety clop .
  *FAT:	that be brilliant .
  *FAT:	where do you make that up .
  *CHI:	it be just a new song .
  *FAT:	oh .
  *FAT:	it be gorgeous .
  *FAT:	sing it again .
  *FAT:	horse .
  *CHI:	no .
  *FAT:	horse .
  *CHI:	hm .
  *CHI:	no .
  *CHI:	sing do not you stop .
  *FAT:	mm .
  *CHI:	get your hoof go clippety .
  *FAT:	ow .
  *CHI:	clop .
  *CHI:	the table be just and the and the wall be break .
  *CHI:	wow .
  *FAT:	hooray .
  *FAT:	that be brilliant .
  *FAT:	i like that one cm darling .
  *FAT:	that be a good one .
  *CHI:	what be your name .
  *FAT:	what do you mean what be my name .
  *CHI:	what be your name .
  *FAT:	when .
  *CHI:	you .
  *FAT:	my name be connor .
  *CHI:	connor .
  *FAT:	what be your name .
  *CHI:	my name mrs bwww .
  *FAT:	oh .
  *FAT:	mrs bwww .
  *FAT:	she be go to be your new teach end be not she .
  *CHI:	yeah .
  *FAT:	mrs bwww .
  *FAT:	i think she be go to be a nice teach .
  *FAT:	what do you say when you be go to go and see her in the morning in your new school .
  *CHI:	good morning .
  *FAT:	mrs .
  *CHI:	bwww .
  *FAT:	my name be .
  *CHI:	eleanor .
  *FAT:	i be .
  *CHI:	two year old .
  *FAT:	no .
  *FAT:	but when you go and see her you be go to be .
  *CHI:	three .
  *FAT:	three year old .
  *FAT:	ow .
  *FAT:	it be brilliant .
  *FAT:	you be go to be three year old .
  *FAT:	you be go to have a love party .
  *CHI:	i be go to have monster cake then .
  *FAT:	mm mm .
  *FAT:	be there one in in that magazine .
  *FAT:	or not .
  *CHI:	yeah .
  *FAT:	no .
  *FAT:	where do you see the monster cake .
  *FAT:	do you see one .
  *CHI:	no .
  *CHI:	i see one at sainsbury be .
  *FAT:	oh .
  *CHI:	i be not get it now because it be not my yet .
  *FAT:	no .
  *FAT:	not yet .
  *FAT:	when be your .
  *CHI:	daddy .
  *CHI:	i be go to get it with my party .
  *FAT:	oh yes .
  *FAT:	that be a good idea .
  *CHI:	and i have got to give party bag .
  *FAT:	oh yes .
  *FAT:	when be you go to get those .
  *FAT:	later on .
  *FAT:	right .
  *FAT:	okay .
  *CHI:	it be get less hole in it .
  *FAT:	right .
  *FAT:	what else .
  *CHI:	and spoon in it .
  *CHI:	and plate in it .
  *FAT:	oh right .
  *FAT:	anything else we need to put in it .
  *FAT:	no .
  *FAT:	right .
  *FAT:	so we be .
  *CHI:	cake .
  *FAT:	cake .
  *FAT:	mm .
  *FAT:	you put cake in the party bag .
  *FAT:	whistle in the party bag .
  *CHI:	glass .
  *FAT:	glass .
  *CHI:	yeah .
  *FAT:	oh .
  *FAT:	that be nice of you .
  *FAT:	what sort of glass .
  *CHI:	barbie glass from me .
  *FAT:	oh right .
  *FAT:	because you have get some end have not you .
  *FAT:	i have see your barbie glass somewhere .
  *CHI:	daddy .
  *CHI:	do you know those sticker .
  *CHI:	i be go to put those no .
  *CHI:	those daddy glass .
  *CHI:	you know those sticker .
  *CHI:	those be for girl .
  *FAT:	which one .
  *CHI:	can you give me them .
  *FAT:	which one cm darling .
  *CHI:	can you give me them .
  *FAT:	which one be there .
  *FAT:	i can not see any sticker here .
  *CHI:	yeah .
  *CHI:	up at the top .
  *CHI:	off that you give me .
  *FAT:	at the top .
  *CHI:	no .
  *CHI:	on the top of the other side mama put it .
  *FAT:	why do she put them there .
  *FAT:	that be from your bicycle that .
  *CHI:	no .
  *CHI:	on the top of there .
  *FAT:	there be none here .
  *FAT:	there be no sticker here cm darling .
  *CHI:	yeah .
  *CHI:	wake up .
  *CHI:	be that okay .
  *CHI:	fast .
  *CHI:	okay .
  *CHI:	go .
  *CHI:	tell him to go fast .
  *CHI:	dad .
  *CHI:	dad .
  *CHI:	watch me .
  *FAT:	i be watch .
  *FAT:	oh .
  *CHI:	dad .
  *FAT:	yes cm my darling .
  *CHI:	look .
  *FAT:	you be go so fast .
  *FAT:	be care .
  *FAT:	eleanor .
  *FAT:	that be just so fast cm my darling .
  *FAT:	and then whoosh .
  *CHI:	dada .
  *CHI:	look at lamb and frosty .
  *FAT:	they be enjoy themselves end be not they .
  *CHI:	yeah .
  *FAT:	where have they come to .
  *FAT:	be this like the park .
  *CHI:	yeah .
  *CHI:	it be the park .
  *FAT:	oh yeah .
  *FAT:	it be the park at not bwww .
  *FAT:	that dwww road .
  *FAT:	the park at dwww road .
  *FAT:	whoosh .
  *FAT:	wish whoosh .
  *CHI:	no .
  *CHI:	do you know where mama put them .
  *FAT:	no .
  *FAT:	i do not know where she put them .
  *CHI:	yes .
  *CHI:	she do .
  *CHI:	i show you .
  *FAT:	right .
  *CHI:	i can not reach this .
  *FAT:	okay .
  *FAT:	come this way .
  *FAT:	and i will try and pick you up .
  *FAT:	alright .
  *CHI:	oh .
  *CHI:	no .
  *CHI:	at the top .
  *CHI:	there .
  *CHI:	i will show you .
  *CHI:	because i show you .
  *FAT:	you be too heavy cm darling .
  *CHI:	no .
  *CHI:	do not give it .
  *FAT:	dear me .
  *FAT:	you be heavy now .
  *CHI:	i want to get those sticker .
  *FAT:	yeah .
  *FAT:	but mama say you can not have them until you go to .
  *CHI:	i want to .
  *FAT:	ow .
  *CHI:	i want to .
  *CHI:	i want to have them .
  *FAT:	eleanor .
  *FAT:	do you remember what mama say .
  *CHI:	no .
  *CHI:	i want them now to get you a stick .
  *FAT:	well .
  *FAT:	i do not know where they be .
  *CHI:	up there .
  *FAT:	oh .
  *FAT:	there they be .
  *CHI:	no .
  *CHI:	those be for .
  *FAT:	oh dear .
  *FAT:	brilliant .
  *CHI:	no .
  *CHI:	those be for present .
  *FAT:	that be a good idea .
  *FAT:	do you send your present to swww .
  *CHI:	yeah .
  *FAT:	do you .
  *CHI:	yeah .
  *FAT:	excellent .
  *CHI:	daddy .
  *CHI:	so i give you these .
  *CHI:	these be for you .
  *FAT:	oh .
  *FAT:	thank you cm my darling .
  *FAT:	one .
  *CHI:	it be for one .
  *CHI:	one .
  *CHI:	hey cm dada .
  *CHI:	look at what be on the floor .
  *FAT:	oh .
  *FAT:	what be it .
  *CHI:	it be man .
  *FAT:	oh .
  *FAT:	wow wee .
  *FAT:	that be a good book end be not it .
  *FAT:	do you want to read that one again .
  *CHI:	be you have two sticker .
  *FAT:	okay .
  *FAT:	ooh .
  *CHI:	oh .
  *FAT:	oh .
  *FAT:	quick .
  *CHI:	okay .
  *FAT:	i think it be stick to your foot .
  *FAT:	i do not know .
  *CHI:	hide .
  *CHI:	there be no .
  *FAT:	no .
  *CHI:	hide .
  *CHI:	he be .
  *CHI:	do you know the purple one .
  *CHI:	he do not like child .
  *FAT:	who be his name .
  *CHI:	mm .
  *FAT:	who like child .
  *CHI:	me .
  *FAT:	you do end do not you .
  *FAT:	oh .
  *FAT:	i have get so many sticker .
  *FAT:	your friend .
  *FAT:	do not they have any sticker .
  *FAT:	they look a bit sad .
  *FAT:	hm .
  *FAT:	why do not we share .
  *FAT:	i will help you get .
  *CHI:	ah .
  *CHI:	who be it .
  *FAT:	i can not even reach it .
  *CHI:	hello .
  *CHI:	i be fine .
  *CHI:	friend swww a present .
  *CHI:	a .
  *CHI:	yeah .
  *CHI:	hello .
  *CHI:	swww want to speak to you .
  *FAT:	want to speak to me or do he want to speak to you .
  *CHI:	he want to speak to you .
  *FAT:	alright .
  *FAT:	thank you cm my darling .
  *FAT:	it be a nice card end be not it cm eleanor .
  *CHI:	daddy .
  *CHI:	can i do a compute .
  *FAT:	yes .
  *FAT:	we can cm darling .
  *CHI:	urgh .
  *CHI:	urgh .
  *CHI:	ow .
  *FAT:	oh .
  *CHI:	ooh ow .
  *CHI:	daddy .
  *CHI:	let me get up .
  *CHI:	let me get up .
  *CHI:	oh uh ouh oh ooh .
  *CHI:	oh .
  *CHI:	mm .
  *CHI:	urgh .
  *CHI:	eh .
  *CHI:	dad .
  *CHI:	yeah .
  *CHI:	this be all our new one .
  *CHI:	dad .
  *CHI:	how do you do this .
  *CHI:	dada .
  *CHI:	how do you switch it on .
  *CHI:	play with you yellow .
  *CHI:	dad .
  *FAT:	yes cm my darling .
  *CHI:	how do you switch this on .
  *FAT:	i think you might have switch it on already .
  *FAT:	actual .
  *FAT:	now what we do be plug this in at the back and let us have a look .
  *CHI:	so what be that noise cm dad .
  *FAT:	that be the cd work .
  *FAT:	hold on .
  *FAT:	you know if you sit up here and i will just see if i can get it to work .
  *FAT:	there you go .
  *FAT:	right .
  *FAT:	and then to switch it on it be this button here .
  *FAT:	there it be .
  *FAT:	that be a party one again .
  *FAT:	you have see that one end have not you .
  *CHI:	yeah .
  *FAT:	do you like those .
  *FAT:	do you .
  *FAT:	you want a monster one instead .
  *FAT:	here you go .
  *FAT:	microsoft window home addition .
  *CHI:	no .
  *CHI:	i want a monster cake .
  *CHI:	where .
  *CHI:	come on cm compute .
  *FAT:	it be come .
  *CHI:	it be not cm dada .
  *FAT:	slow .
  *FAT:	there you go .
  *FAT:	it say w e l c o m e .
  *FAT:	welcome .
  *FAT:	right .
  *FAT:	what do you want to do now .
  *FAT:	do you want to do .
  *CHI:	color .
  *FAT:	color .
  *FAT:	do you know how to move like this .
  *FAT:	this one have not get a mouse .
  *FAT:	this time you use your finger and watch the arrow .
  *FAT:	watch .
  *FAT:	if you move your finger .
  *CHI:	yeah .
  *CHI:	the arrow move up and down as well .
  *CHI:	what .
  *FAT:	it be good end be not it .
  *CHI:	have you get mouse .
  *FAT:	this be call the mouse .
  *FAT:	this be the mouse here .
  *FAT:	so let us get rid of that .
  *FAT:	and let us go on to what do you want to do .
  *FAT:	to do .
  *CHI:	color .
  *CHI:	color .
  *CHI:	have it get color .
  *FAT:	it have get color .
  *FAT:	yes .
  *CHI:	i want to do it color .
  *FAT:	let us have a look .
  *FAT:	all program .
  *CHI:	here .
  *FAT:	here we go .
  *FAT:	and that be that one there be the color .
  *FAT:	come up soon .
  *CHI:	be this it .
  *FAT:	mm .
  *FAT:	and let us have a look .
  *CHI:	there be that one cm dad .
  *CHI:	daddy .
  *FAT:	mm .
  *CHI:	i want to do some color .
  *CHI:	i want red and green and yellow .
  *FAT:	do you .
  *FAT:	right .
  *CHI:	and blue and green .
  *CHI:	i want color .
  *CHI:	can i have color .
  *FAT:	course you can .
  *FAT:	i will just see how this work .
  *CHI:	what be that .
  *FAT:	oh .
  *FAT:	that be a fun face .
  *FAT:	hello cm smiley fun face .
  *CHI:	what be she no .
  *CHI:	it be a .
  *CHI:	it be a cm dad .
  *FAT:	be it .
  *CHI:	yeah .
  *CHI:	i do not want word .
  *FAT:	there .
  *FAT:	green .
  *FAT:	do you want green .
  *FAT:	no .
  *CHI:	no .
  *FAT:	okay .
  *CHI:	i want it red .
  *FAT:	a red one .
  *FAT:	okay .
  *FAT:	i will see if i can get a red one up for you .
  *FAT:	red .
  *FAT:	that might be red .
  *FAT:	it ought to be red .
  *FAT:	ah ha .
  *FAT:	there you go .
  *CHI:	red .
  *FAT:	oh yes .
  *CHI:	i will get this through there .
  *FAT:	i will just get rid of this now .
  *FAT:	and then you oh .
  *FAT:	there you go .
  *FAT:	so you can end you see .
  *FAT:	off you go .
  *FAT:	oh .
  *FAT:	what be you do .
  *CHI:	this be our new park .
  *FAT:	mm .
  *CHI:	this be call brand new park .
  *FAT:	brand new park .
  *FAT:	oh .
  *FAT:	wow .
  *CHI:	it be get new swing now .
  *CHI:	it be get barbie swing .
  *FAT:	wow .
  *FAT:	that be go so fast cm my darling .
  *FAT:	that be brilliant .
  *FAT:	excellent .
  *FAT:	have they play enough on there now .
  *CHI:	no .
  *FAT:	be you sure .
  *CHI:	not yet .
  *FAT:	alright .
  *CHI:	have you play enough yet .
  *CHI:	do you want to go on the whirl slide one .
  *FAT:	right .
  *CHI:	or be you go to go on here .
  *CHI:	do you want go on the roundabout again .
  *CHI:	those .
  *FAT:	what number be you do .
  *FAT:	hm .
  *FAT:	oh .
  *FAT:	that be two up from .
  *FAT:	oh .
  *FAT:	zero again .
  *FAT:	let us get rid of those .
  *FAT:	do you know if you want to delete .
  *FAT:	this one here be delete .
  *FAT:	get rid of it .
  *FAT:	now delete .
  *FAT:	delete and start again .
  *FAT:	there you go .
  *FAT:	you have get rid of those .
  *FAT:	now you can start with number eight again .
  *FAT:	that go back and then you press delete it .
  *CHI:	i want it to go off .
  *FAT:	you want it to go off complete .
  *FAT:	then you can press delete .
  *FAT:	go go .
  *FAT:	right .
  *CHI:	they will .
  *CHI:	add two .
  *CHI:	twenty .
  *FAT:	ah .
  *FAT:	no .
  *FAT:	two and zero twenty .
  *FAT:	i will show you .
  *FAT:	so do two first .
  *CHI:	two .
  *FAT:	and then do zero afterwards .
  *FAT:	and that be .
  *CHI:	twenty .
  *FAT:	here cm darling .
  *FAT:	do the next one .
  *FAT:	three and zero .
  *FAT:	see .
  *CHI:	no .
  *FAT:	do three and zero next .
  *CHI:	no .
  *FAT:	four and zero .
  *CHI:	no .
  *FAT:	which one be you go to do next .
  *CHI:	i want to use a different color .
  *FAT:	which color will you like to use .
  *CHI:	yellow .
  *FAT:	mm .
  *FAT:	yellow .
  *CHI:	yellow .
  *FAT:	right .
  *CHI:	look .
  *FAT:	huh .
  *FAT:	oh .
  *FAT:	he be get a smiley face .
  *CHI:	where .
  *FAT:	that thing be get a smiley face end have not it .
  *CHI:	yeah .
  *FAT:	okay .
  *FAT:	there you go .
  *FAT:	hope that be go to be yellow .
  *FAT:	be you ready .
  *FAT:	you do some number on or letter .
  *FAT:	yay .
